model,shift,severity,domain,auroc,binary_accuracy,fpr_at_tpr90,ece,latency_median_s,latency_iqr_lo,latency_iqr_hi,detection_rate,holdout_accuracy,n_train,n_test,status
CUSUM,coupling_shift,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,coupling_shift,0.6,B,0.0000,0.0000,1.0000,0.9195,,,,0.0000,0.0000,0,27,ok
RF,coupling_shift,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,coupling_shift,0.6,B,1.0000,1.0000,1.0000,0.0389,,,,0.0000,0.7778,75,27,ok
CUSUM,coupling_shift,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,coupling_shift,0.9,B,0.0000,0.0000,1.0000,0.8852,,,,0.0000,0.0000,0,27,ok
RF,coupling_shift,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,coupling_shift,0.9,B,1.0000,1.0000,1.0000,0.0453,,,,0.0000,0.7778,75,27,ok
CUSUM,gain_mismatch,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,gain_mismatch,0.3,B,0.0000,0.0000,1.0000,0.8904,,,,0.0000,0.0000,0,27,ok
RF,gain_mismatch,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,gain_mismatch,0.3,B,1.0000,0.8889,1.0000,0.1269,,,,0.0000,0.7778,75,27,ok
CUSUM,gain_mismatch,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,gain_mismatch,0.6,B,0.0000,0.0000,1.0000,0.9134,,,,0.0000,0.0000,0,27,ok
RF,gain_mismatch,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,gain_mismatch,0.6,B,1.0000,0.9630,1.0000,0.0896,,,,0.0000,0.7778,75,27,ok
CUSUM,gain_mismatch,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,gain_mismatch,0.9,B,0.0000,0.0000,1.0000,0.8862,,,,0.0000,0.0000,0,27,ok
RF,gain_mismatch,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,gain_mismatch,0.9,B,1.0000,1.0000,1.0000,0.0635,,,,0.0000,0.7778,75,27,ok
CUSUM,partial_suppression,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,partial_suppression,0.3,B,0.0000,0.0000,1.0000,0.9250,,,,0.0000,0.0000,0,27,ok
RF,partial_suppression,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,partial_suppression,0.3,B,0.9833,0.8148,1.0000,0.2046,,,,0.0000,0.7778,75,27,ok
CUSUM,partial_suppression,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,partial_suppression,0.6,B,0.0000,0.0000,1.0000,0.9052,,,,0.0000,0.0000,0,27,ok
RF,partial_suppression,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,partial_suppression,0.6,B,0.9944,0.6296,1.0000,0.3295,,,,0.0000,0.7778,75,27,ok
CUSUM,partial_suppression,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,partial_suppression,0.9,B,0.0000,0.0000,1.0000,0.8865,,,,0.0000,0.0000,0,27,ok
RF,partial_suppression,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,partial_suppression,0.9,B,0.9889,0.5926,1.0000,0.3491,,,,0.0000,0.7778,75,27,ok
CUSUM,rate_decrease,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
